epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
106,30005,1.09318,0.62954,1.10089,0.74447,0.69879,0.70853,0.40507,1.52131,0.91186,1.53782,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
107,30280.4,1.10129,0.62356,1.08908,0.74525,0.69651,0.70842,0.40519,1.52112,0.91019,1.53888,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
108,30557.5,1.09292,0.62439,1.09963,0.74299,0.69731,0.7076,0.40541,1.51909,0.90969,1.5375,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814
109,30833.7,1.08601,0.61536,1.10014,0.73722,0.70168,0.70762,0.40486,1.51811,0.91097,1.53873,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
110,31109.5,1.10814,0.6268,1.09346,0.73638,0.7015,0.70754,0.4055,1.5175,0.91223,1.53898,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418
111,31385.8,1.0903,0.61915,1.09478,0.73157,0.70429,0.70683,0.40544,1.51704,0.91077,1.53953,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
112,31661,1.08888,0.6145,1.10002,0.73299,0.70418,0.7064,0.40578,1.5167,0.91235,1.53924,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
113,31934.9,1.0957,0.61983,1.09453,0.72872,0.70412,0.70629,0.40596,1.51724,0.91253,1.54009,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
114,32209,1.08721,0.61961,1.09622,0.72604,0.704,0.70642,0.40651,1.51641,0.91072,1.5396,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626
115,32493.5,1.09811,0.61456,1.09241,0.72591,0.70404,0.70612,0.4051,1.51691,0.90942,1.54118,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
116,32770.2,1.08174,0.61094,1.08939,0.72682,0.70304,0.70638,0.40509,1.51661,0.90961,1.54181,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
117,33046.2,1.08797,0.62286,1.09145,0.72922,0.70326,0.70624,0.4047,1.5171,0.90987,1.54286,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
118,33322.7,1.08789,0.62062,1.09139,0.72816,0.70258,0.70586,0.40503,1.51632,0.91139,1.54299,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834
119,33602.1,1.08294,0.61489,1.07656,0.72989,0.70223,0.70683,0.40602,1.51612,0.91098,1.54319,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
120,33877.8,1.06989,0.60968,1.08977,0.73214,0.70344,0.7061,0.40486,1.51673,0.91197,1.54347,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438
121,34152.5,1.07544,0.60497,1.0811,0.73264,0.70309,0.70589,0.4054,1.51655,0.91137,1.54403,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
122,34431.3,1.07118,0.61274,1.07995,0.73217,0.70279,0.70627,0.40403,1.51641,0.91064,1.54353,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042
123,34720.1,1.06439,0.60563,1.07934,0.73342,0.70328,0.7066,0.40407,1.51623,0.90965,1.54362,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
124,35005.6,1.0677,0.60449,1.0857,0.73283,0.70329,0.70776,0.40356,1.51639,0.9089,1.54391,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646
125,35292.2,1.06433,0.59655,1.07853,0.73361,0.7023,0.70602,0.40309,1.51682,0.9105,1.5456,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
126,35577.1,1.06927,0.60827,1.07878,0.73263,0.70275,0.70556,0.40299,1.51707,0.91027,1.54669,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
127,35856.7,1.06022,0.59537,1.081,0.73053,0.70261,0.70599,0.40365,1.51716,0.91049,1.54694,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
128,36137.8,1.06005,0.59879,1.0832,0.73116,0.70261,0.70559,0.40356,1.51688,0.9118,1.54707,0.0224562,0.0074854,0.0224562,0.0074854,0.0224562,0.0074854,0.0224562,0.0074854
129,36421.1,1.05773,0.59915,1.07864,0.73247,0.70146,0.70517,0.40335,1.51603,0.91166,1.54544,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656
