archivo,lat,lon,ventanas_detectadas,pisos_detectados
19.405034_-99.170278.jpg,19.405034,-99.170278,8,2
19.405035_-99.174838.jpg,19.405035,-99.174838,25,1
19.405043_-99.169749.jpg,19.405043,-99.169749,2,2
19.405047_-99.174036.jpg,19.405047,-99.174036,6,1
19.405065_-99.174375.jpg,19.405065,-99.174375,4,2
19.405073_-99.171824.jpg,19.405073,-99.171824,3,2
19.405074_-99.171206.jpg,19.405074,-99.171206,4,3
19.405079_-99.173436.jpg,19.405079,-99.173436,3,1
19.405080_-99.174947.jpg,19.40508,-99.174947,7,2
19.405083_-99.174551.jpg,19.405083,-99.174551,11,2
19.405084_-99.171984.jpg,19.405084,-99.171984,18,3
19.405088_-99.175067.jpg,19.405088,-99.175067,6,2
19.405132_-99.170303.jpg,19.405132,-99.170303,6,2
19.405133_-99.170089.jpg,19.405133,-99.170089,23,4
19.405140_-99.173621.jpg,19.40514,-99.173621,1,1
19.405147_-99.170852.jpg,19.405147,-99.170852,9,1
19.405151_-99.174831.jpg,19.405151,-99.174831,10,3
19.405153_-99.169791.jpg,19.405153,-99.169791,11,4
19.405159_-99.174341.jpg,19.405159,-99.174341,3,2
19.405161_-99.174524.jpg,19.405161,-99.174524,11,1
19.405164_-99.175040.jpg,19.405164,-99.17504,14,3
19.405171_-99.171829.jpg,19.405171,-99.171829,9,3
19.405175_-99.169691.jpg,19.405175,-99.169691,7,3
19.405179_-99.175326.jpg,19.405179,-99.175326,9,2
19.405183_-99.171959.jpg,19.405183,-99.171959,11,3
19.405186_-99.173762.jpg,19.405186,-99.173762,19,1
19.405189_-99.173333.jpg,19.405189,-99.173333,11,4
19.405199_-99.169583.jpg,19.405199,-99.169583,15,3
19.405209_-99.169354.jpg,19.405209,-99.169354,3,2
19.405209_-99.175417.jpg,19.405209,-99.175417,9,2
19.405221_-99.170326.jpg,19.405221,-99.170326,3,1
19.405225_-99.173994.jpg,19.405225,-99.173994,5,2
19.405226_-99.173889.jpg,19.405226,-99.173889,7,2
19.405226_-99.174982.jpg,19.405226,-99.174982,13,3
19.405229_-99.174805.jpg,19.405229,-99.174805,11,3
19.405230_-99.174500.jpg,19.40523,-99.1745,5,1
19.405261_-99.173306.jpg,19.405261,-99.173306,11,5
19.405265_-99.171836.jpg,19.405265,-99.171836,3,1
19.405274_-99.171939.jpg,19.405274,-99.171939,5,2
19.405276_-99.170125.jpg,19.405276,-99.170125,10,2
19.405277_-99.174298.jpg,19.405277,-99.174298,6,2
19.405278_-99.175330.jpg,19.405278,-99.17533,7,2
19.405291_-99.174480.jpg,19.405291,-99.17448,5,1
19.405298_-99.174780.jpg,19.405298,-99.17478,4,3
19.405299_-99.171253.jpg,19.405299,-99.171253,2,2
19.405300_-99.175692.jpg,19.4053,-99.175692,9,2
19.405302_-99.174955.jpg,19.405302,-99.174955,24,3
19.405309_-99.173964.jpg,19.405309,-99.173964,20,2
