epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,2970.71,1.0139,0.73309,1.04287,0.4389,0.34743,0.30225,0.18732,1.4967,1.58087,1.37581,0.000263028,0.000263028,0.000263028
122,2994.88,1.01781,0.74228,1.04602,0.48464,0.32882,0.29529,0.19119,1.47317,1.59702,1.35934,0.000262345,0.000262345,0.000262345
123,3019.01,1.00902,0.70674,1.02375,0.44908,0.31947,0.29637,0.18882,1.48262,1.56486,1.37247,0.000261662,0.000261662,0.000261662
124,3043.17,1.08503,0.76817,1.06132,0.48383,0.32956,0.28949,0.18619,1.48538,1.57399,1.35791,0.000260979,0.000260979,0.000260979
125,3067.61,1.02719,0.73097,1.04351,0.50398,0.31987,0.28994,0.18982,1.48485,1.56907,1.36849,0.000260296,0.000260296,0.000260296
126,3091.52,1.00519,0.71417,1.03087,0.48592,0.33246,0.29529,0.18921,1.47905,1.61896,1.35687,0.000259612,0.000259612,0.000259612
127,3115.57,1.02969,0.73728,1.03998,0.42789,0.36252,0.31116,0.19314,1.46808,1.57432,1.35492,0.000258929,0.000258929,0.000258929
128,3140.47,1.02716,0.7297,1.03817,0.4986,0.33672,0.30175,0.1893,1.48901,1.60362,1.36444,0.000258246,0.000258246,0.000258246
129,3164.41,1.08824,0.76447,1.05088,0.48779,0.33883,0.3384,0.20342,1.46492,1.59235,1.35196,0.000257563,0.000257563,0.000257563
130,3189.06,1.01884,0.72782,1.03501,0.50233,0.32589,0.29607,0.18886,1.47423,1.60138,1.36244,0.00025688,0.00025688,0.00025688
131,3212.85,1.10509,0.77015,1.05493,0.49527,0.32996,0.2973,0.18845,1.47094,1.57338,1.34418,0.000256197,0.000256197,0.000256197
132,3237.93,1.01958,0.72139,1.03674,0.41407,0.35683,0.30087,0.1912,1.4903,1.60914,1.36798,0.000255514,0.000255514,0.000255514
133,3263.2,0.9953,0.70626,1.02252,0.44219,0.34431,0.29637,0.18204,1.47742,1.61547,1.36905,0.000254831,0.000254831,0.000254831
134,3287.61,0.96781,0.69105,1.02784,0.40163,0.33803,0.28245,0.18202,1.47054,1.60698,1.35142,0.000254148,0.000254148,0.000254148
135,3311.73,1.03156,0.71953,1.03265,0.46617,0.35149,0.30228,0.19501,1.45551,1.58961,1.3555,0.000253465,0.000253465,0.000253465
136,3335.69,0.98073,0.69373,1.01898,0.42802,0.33618,0.28527,0.18625,1.48466,1.60335,1.35472,0.000252781,0.000252781,0.000252781
137,3360.63,0.99371,0.71096,1.03872,0.40412,0.35111,0.28645,0.18777,1.47089,1.5961,1.35514,0.000252098,0.000252098,0.000252098
138,3384.69,1.0452,0.73696,1.04804,0.43324,0.31392,0.28319,0.18287,1.46622,1.57305,1.36002,0.000251415,0.000251415,0.000251415
139,3408.67,0.95655,0.67478,1.01324,0.44872,0.3208,0.28096,0.17725,1.47786,1.60349,1.35617,0.000250732,0.000250732,0.000250732
140,3433.74,0.98877,0.69704,1.02694,0.43071,0.33742,0.28922,0.18649,1.46128,1.60709,1.34239,0.000250049,0.000250049,0.000250049
141,3458.39,1.03002,0.71229,1.0205,0.50711,0.324,0.29242,0.18773,1.48749,1.59757,1.3611,0.000249366,0.000249366,0.000249366
142,3483.28,1.02405,0.70471,1.02512,0.46347,0.34738,0.29408,0.18791,1.47352,1.58949,1.36931,0.000248683,0.000248683,0.000248683
143,3507.9,1.0477,0.75214,1.04738,0.47024,0.34831,0.30038,0.19182,1.47242,1.59128,1.34719,0.000248,0.000248,0.000248
144,3532.59,1.04685,0.72785,1.03541,0.49475,0.32855,0.29732,0.19668,1.47059,1.56943,1.34637,0.000247317,0.000247317,0.000247317
145,3556.58,1.01711,0.6985,1.01284,0.45093,0.33183,0.30314,0.19596,1.4692,1.57963,1.35839,0.000246634,0.000246634,0.000246634
146,3580.63,1.01704,0.70443,1.02074,0.4093,0.34924,0.2888,0.18586,1.46883,1.61057,1.35551,0.00024595,0.00024595,0.00024595
147,3604.24,0.97347,0.6803,1.01067,0.45,0.33708,0.2889,0.18426,1.49465,1.61261,1.3747,0.000245267,0.000245267,0.000245267
148,3628.07,1.03055,0.7196,1.02355,0.48291,0.33011,0.29456,0.19322,1.47974,1.60307,1.36976,0.000244584,0.000244584,0.000244584
149,3652.17,0.98332,0.69192,1.02496,0.51086,0.32969,0.30091,0.19039,1.47922,1.59012,1.35825,0.000243901,0.000243901,0.000243901
150,3676.37,0.9445,0.66506,1.01542,0.48288,0.3201,0.28743,0.18246,1.47317,1.6195,1.37032,0.000243218,0.000243218,0.000243218
151,3701.38,0.94214,0.64885,0.99925,0.47639,0.3324,0.28721,0.18642,1.47555,1.62735,1.35925,0.000242535,0.000242535,0.000242535
152,3725.71,0.98836,0.68786,1.02183,0.45719,0.33002,0.298,0.19114,1.48387,1.59301,1.36174,0.000241852,0.000241852,0.000241852
153,3749.77,0.92932,0.64305,0.98849,0.47015,0.33685,0.28675,0.18636,1.48281,1.58918,1.37283,0.000241169,0.000241169,0.000241169
154,3774.5,1.01253,0.69627,1.01894,0.46095,0.30907,0.28045,0.17811,1.46687,1.61114,1.36488,0.000240486,0.000240486,0.000240486
155,3798.42,0.95902,0.66119,1.00433,0.4501,0.34532,0.27808,0.17552,1.4775,1.65241,1.35573,0.000239803,0.000239803,0.000239803
156,3822.66,0.95154,0.6574,0.99815,0.43529,0.35181,0.28163,0.17915,1.47818,1.63328,1.36075,0.000239119,0.000239119,0.000239119
157,3847.28,1.0069,0.69586,1.0223,0.51236,0.31473,0.28551,0.18458,1.47519,1.63626,1.3515,0.000238436,0.000238436,0.000238436
158,3872.76,0.96839,0.6705,1.01096,0.47559,0.33366,0.28396,0.18285,1.46607,1.63505,1.37076,0.000237753,0.000237753,0.000237753
159,3896.47,0.94255,0.65679,1.00687,0.51883,0.31165,0.28766,0.186,1.48,1.64101,1.37756,0.00023707,0.00023707,0.00023707
160,3920.22,0.98372,0.67088,1.00384,0.49152,0.32107,0.28761,0.18782,1.47432,1.66342,1.36294,0.000236387,0.000236387,0.000236387
161,3943.94,1.00229,0.68345,1.01264,0.41874,0.35166,0.29779,0.19371,1.47791,1.6288,1.35866,0.000235704,0.000235704,0.000235704
162,3968,0.99176,0.69162,1.01606,0.49933,0.33573,0.29193,0.19243,1.46953,1.60261,1.35908,0.000235021,0.000235021,0.000235021
163,3992.71,0.96339,0.66071,0.99773,0.50033,0.318,0.28613,0.1842,1.47816,1.61915,1.36955,0.000234338,0.000234338,0.000234338
164,4017.65,0.96983,0.6651,1.0021,0.51227,0.32252,0.28635,0.19221,1.4888,1.62846,1.36494,0.000233655,0.000233655,0.000233655
165,4043.24,0.98969,0.66654,1.00892,0.50389,0.32805,0.28849,0.18689,1.47686,1.62338,1.36404,0.000232972,0.000232972,0.000232972
166,4068.68,0.93674,0.64169,0.98991,0.50764,0.33933,0.29608,0.19341,1.4876,1.62584,1.37672,0.000232288,0.000232288,0.000232288
167,4093.76,1.00587,0.67692,1.01136,0.50647,0.32076,0.29403,0.19311,1.47316,1.66014,1.37514,0.000231605,0.000231605,0.000231605
168,4119.03,1.03999,0.70102,1.02342,0.49522,0.32216,0.29025,0.18976,1.47635,1.63058,1.37821,0.000230922,0.000230922,0.000230922
169,4143.49,0.96841,0.65001,0.99207,0.49443,0.32335,0.29237,0.18655,1.47153,1.61345,1.35982,0.000230239,0.000230239,0.000230239
